SR-F,SR-S,SR-P,No Label,TimeStamp,SR-F,SR-S,SR-P,No Label,TimeStamp
1,0,0,0,"[995, 1037]",1,0,0,0,"[1001, 1020]"
1,0,0,0,"[1537, 1550]",1,0,0,0,"[1531, 1549]"
1,0,0,0,"[2713, 2740]",1,0,0,0,"[2716, 2740]"
1,0,0,0,"[3368, 3380]",0,0,0,1,-1
0,0,1,0,"[4594, 4613]",0,0,0,1,-1
1,0,0,0,"[1084, 1111]",1,0,0,0,"[1094, 1110]"
0,1,0,0,"[2669, 2715]",0,0,0,1,-1
0,0,1,0,"[4585, 4606]",0,0,0,1,-1
0,1,0,0,"[1337, 1368]",0,1,0,0,"[1330, 1363]"
0,1,0,0,"[1642, 1682]",0,0,0,1,-1
0,1,0,0,"[1971, 2004]",0,0,0,1,-1
1,0,0,0,"[2663, 2699]",0,0,0,1,-1
0,1,0,0,"[4049, 4105]",0,0,0,1,-1
0,1,0,0,"[4579, 4602]",0,0,0,1,-1
1,0,0,0,"[1437, 1465]",1,0,0,0,"[1435, 1457]"
1,0,0,0,"[2912, 2939]",1,0,0,0,"[2912, 2939]"
0,1,0,0,"[4047, 4080]",1,0,0,0,"[4049, 4092]"
1,0,0,0,"[1551, 1573]",1,0,0,0,"[1552, 1571]"
0,1,0,0,"[3413, 3439]",0,1,0,0,"[3415, 3453]"
0,0,1,0,"[1555, 1585]",1,0,0,0,"[1548, 1583]"
0,1,0,0,"[2328, 2343]",0,0,1,0,"[2328, 2349]"
0,1,0,0,"[4120, 4145]",1,0,0,0,"[4122, 4156]"
1,0,0,0,"[2487, 2516]",0,0,0,1,-1
0,0,1,0,"[3404, 3473]",0,0,0,1,-1
0,0,1,0,"[4579, 4599]",0,0,0,1,-1
0,1,0,0,"[1942, 1959]",1,0,0,0,"[1941, 1963]"
1,0,0,0,"[2170, 2199]",1,0,0,0,"[2164, 2199]"
1,0,0,0,"[2683, 2699]",1,0,0,0,"[2680, 2699]"
0,0,1,0,"[4394, 4410]",0,0,0,1,-1
0,0,1,0,"[4057, 4107]",1,0,0,0,"[4058, 4104]"
0,0,0,1,-1,0,1,0,0,"[2546, 2582]"
